Training Log
Start Time: 2025-10-15 15:20:57
Num Actors: 16
Horizon Length: 256
Minibatch Size: 128
Mini Epochs: 5
Learning Rate: 3e-4
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 30000
Position Error Threshold: 0.15
Position Error Count: 5
Progress Reward: 0.2
--------------------------------------------------
Current_Step,Max_Reward,Position,Velocity,Quaternion,Angular_Velocity,Timestamp
273,163.219513,2025-10-15 15:22:59,-0.1784285604953766,-0.11108934879302979,-0.03727602958679199,-0.03215237706899643
280,159.082703,2025-10-15 15:22:59,-0.15154579281806946,-0.09766944497823715,-0.03402199596166611,-0.029476627707481384
263,120.487457,2025-10-15 15:23:00,-0.24094119668006897,-0.14065253734588623,-0.05362992733716965,-0.04350337013602257
260,116.628296,2025-10-15 15:23:00,-0.2316848188638687,-0.1347493827342987,-0.05112968385219574,-0.04247613996267319
264,118.476021,2025-10-15 15:23:00,-0.21064555644989014,-0.12262704968452454,-0.04581506550312042,-0.03872416913509369
258,118.080597,2025-10-15 15:23:00,-0.18373319506645203,-0.11108237504959106,-0.03828408569097519,-0.033764541149139404
263,117.431740,2025-10-15 15:23:00,-0.15498872101306915,-0.09793896228075027,-0.031214935705065727,-0.028985239565372467
256,115.142365,2025-10-15 15:23:00,-0.20527568459510803,-0.12158233672380447,-0.047452256083488464,-0.04012352228164673
258,114.818085,2025-10-15 15:23:00,-0.16879943013191223,-0.10456888377666473,-0.03913724794983864,-0.03412030637264252
250,112.568840,2025-10-15 15:23:00,-0.14683622121810913,-0.09438516944646835,-0.040364496409893036,-0.0345989353954792
249,118.026909,2025-10-15 15:23:00,-0.1361723393201828,-0.08937607705593109,-0.03598399832844734,-0.03148282691836357
246,118.594360,2025-10-15 15:23:01,-0.1290406733751297,-0.08680979907512665,-0.03316176310181618,-0.030072322115302086
261,115.940285,2025-10-15 15:23:01,-0.17265954613685608,-0.10933847725391388,-0.043662119656801224,-0.037499282509088516
254,114.766937,2025-10-15 15:23:01,-0.15029697120189667,-0.0999530702829361,-0.03906825929880142,-0.03508719801902771
258,118.611504,2025-10-15 15:23:01,-0.19698017835617065,-0.12243271619081497,-0.04997541755437851,-0.0429224893450737
256,118.030884,2025-10-15 15:23:02,-0.21460340917110443,-0.12944963574409485,-0.05214163661003113,-0.04462167248129845
264,117.319458,2025-10-15 15:23:02,-0.19969627261161804,-0.12135754525661469,-0.04527532309293747,-0.03989368677139282
262,117.219521,2025-10-15 15:23:02,-0.15790385007858276,-0.10281670093536377,-0.0333683155477047,-0.03230913728475571
253,117.782112,2025-10-15 15:23:02,-0.22069242596626282,-0.13247807323932648,-0.054050978273153305,-0.04686892032623291
242,117.697098,2025-10-15 15:23:02,-0.18613201379776,-0.11549951136112213,-0.043761447072029114,-0.0391245000064373
252,116.217934,2025-10-15 15:23:02,-0.18103289604187012,-0.11138567328453064,-0.0437580868601799,-0.03889710456132889
253,116.089546,2025-10-15 15:23:02,-0.14988461136817932,-0.09502876549959183,-0.03413030132651329,-0.031632132828235626
261,118.576813,2025-10-15 15:23:02,-0.15896844863891602,-0.09934832155704498,-0.03859718143939972,-0.03523693606257439
252,116.242126,2025-10-15 15:23:02,-0.1883719116449356,-0.11473524570465088,-0.04898270219564438,-0.04281993955373764
259,115.238197,2025-10-15 15:23:02,-0.17205366492271423,-0.10578558593988419,-0.04438254237174988,-0.03917286545038223
262,118.446854,2025-10-15 15:23:02,-0.1717977374792099,-0.10657330602407455,-0.04765276610851288,-0.041735611855983734
251,118.382019,2025-10-15 15:23:02,-0.13533085584640503,-0.08984112739562988,-0.03716941550374031,-0.034394506365060806
245,117.696991,2025-10-15 15:23:03,-0.11886128038167953,-0.08336981385946274,-0.03157477080821991,-0.030391467735171318
248,183.597305,2025-10-15 15:23:03,-0.1685299277305603,-0.10996739566326141,-0.03922145813703537,-0.03779572620987892
250,183.201111,2025-10-15 15:23:03,-0.1374359279870987,-0.09474944323301315,-0.03302357345819473,-0.0328928641974926
245,173.675232,2025-10-15 15:23:04,-0.1741054207086563,-0.11574482917785645,-0.044898033142089844,-0.04184260964393616
238,169.450638,2025-10-15 15:23:04,-0.1632351577281952,-0.10950983315706253,-0.0415901243686676,-0.0390457957983017
238,165.541290,2025-10-15 15:23:04,-0.15305152535438538,-0.10302035510540009,-0.03933043032884598,-0.03709320351481438
250,158.726929,2025-10-15 15:23:04,-0.1449737846851349,-0.09837794303894043,-0.038328927010297775,-0.03626862168312073
240,131.883484,2025-10-15 15:23:04,-0.1871413290500641,-0.12000931799411774,-0.05254187062382698,-0.04653460159897804
242,129.912384,2025-10-15 15:23:04,-0.1589486002922058,-0.10514090210199356,-0.04441537708044052,-0.04045712947845459
245,115.140717,2025-10-15 15:23:04,-0.16886016726493835,-0.10920839011669159,-0.045394621789455414,-0.04090244695544243
245,118.298637,2025-10-15 15:23:04,-0.14538711309432983,-0.09924793243408203,-0.037177927792072296,-0.035330310463905334
248,116.425987,2025-10-15 15:23:04,-0.19808249175548553,-0.12378488481044769,-0.04953308403491974,-0.04426620155572891
243,116.177223,2025-10-15 15:23:04,-0.16874946653842926,-0.10954277217388153,-0.04296230897307396,-0.03958086669445038
242,118.412918,2025-10-15 15:23:05,-0.17424258589744568,-0.11154817044734955,-0.04546140879392624,-0.040493324398994446
242,118.348763,2025-10-15 15:23:05,-0.13761889934539795,-0.09292539209127426,-0.03648392856121063,-0.03384995833039284
239,117.905220,2025-10-15 15:23:05,-0.11136873811483383,-0.08032618463039398,-0.030177174136042595,-0.029330667108297348
248,186.947479,2025-10-15 15:23:05,-0.18062971532344818,-0.11759885400533676,-0.04828589782118797,-0.04272269830107689
247,186.836304,2025-10-15 15:23:05,-0.1435519903898239,-0.09958498179912567,-0.0379340723156929,-0.03574751317501068
246,181.402588,2025-10-15 15:23:06,-0.18128791451454163,-0.12056756019592285,-0.051938142627477646,-0.045506276190280914
251,180.158005,2025-10-15 15:23:06,-0.16367313265800476,-0.10943266749382019,-0.046359360218048096,-0.04072863981127739
244,176.898941,2025-10-15 15:23:06,-0.15620805323123932,-0.10705175995826721,-0.04123159497976303,-0.03753575682640076
241,173.692139,2025-10-15 15:23:06,-0.13775888085365295,-0.09841116517782211,-0.03578506410121918,-0.03360157832503319
237,158.636963,2025-10-15 15:23:06,-0.17961059510707855,-0.1196155920624733,-0.04414979740977287,-0.040085241198539734
236,158.000504,2025-10-15 15:23:06,-0.14731159806251526,-0.10254159569740295,-0.03518931567668915,-0.033520836383104324
232,148.084030,2025-10-15 15:23:06,-0.15037941932678223,-0.10186144709587097,-0.032993871718645096,-0.03206755965948105
234,146.492218,2025-10-15 15:23:06,-0.12133501470088959,-0.08573493361473083,-0.025640785694122314,-0.026089482009410858
240,118.248734,2025-10-15 15:23:06,-0.13922683894634247,-0.0953519195318222,-0.029625646770000458,-0.030079293996095657
239,116.795509,2025-10-15 15:23:07,-0.17440779507160187,-0.11326144635677338,-0.0412459634244442,-0.03849869221448898
238,116.684898,2025-10-15 15:23:07,-0.1452275812625885,-0.0980726107954979,-0.033180661499500275,-0.03201195225119591
240,118.211060,2025-10-15 15:23:07,-0.16314265131950378,-0.10517500340938568,-0.03584253787994385,-0.03330281376838684
249,118.573616,2025-10-15 15:23:07,-0.10952349007129669,-0.07677395641803741,-0.02220860682427883,-0.022786928340792656
248,116.126213,2025-10-15 15:23:08,-0.18313583731651306,-0.11833406984806061,-0.04079381003975868,-0.03773879259824753
250,115.863052,2025-10-15 15:23:08,-0.16009148955345154,-0.10614565014839172,-0.032224029302597046,-0.03144140914082527
240,118.523079,2025-10-15 15:23:08,-0.1795841008424759,-0.11697301268577576,-0.03900196775794029,-0.0364607609808445
250,118.170631,2025-10-15 15:23:08,-0.18369154632091522,-0.11700701713562012,-0.04072020575404167,-0.03698725998401642
252,118.022163,2025-10-15 15:23:08,-0.15609566867351532,-0.10164207220077515,-0.03319946303963661,-0.031607553362846375
241,117.240440,2025-10-15 15:23:08,-0.13546541333198547,-0.09189775586128235,-0.030317921191453934,-0.029727637767791748
245,112.146034,2025-10-15 15:23:08,-0.17668527364730835,-0.113043412566185,-0.0399678535759449,-0.03601420298218727
250,118.783546,2025-10-15 15:23:08,-0.15951119363307953,-0.10289749503135681,-0.03835802152752876,-0.03416172415018082
246,118.109810,2025-10-15 15:23:08,-0.1476190686225891,-0.0978846624493599,-0.03720792755484581,-0.03265933692455292
255,117.202988,2025-10-15 15:23:08,-0.1419984996318817,-0.09402614831924438,-0.033218905329704285,-0.029977813363075256
240,117.773529,2025-10-15 15:23:08,-0.13411587476730347,-0.09135778248310089,-0.03138483315706253,-0.028898850083351135
244,116.412994,2025-10-15 15:23:09,-0.18915647268295288,-0.11733128875494003,-0.04033689573407173,-0.03487467020750046
250,115.495354,2025-10-15 15:23:09,-0.1695871353149414,-0.10618939995765686,-0.034150589257478714,-0.030516372993588448
241,118.178986,2025-10-15 15:23:09,-0.15375374257564545,-0.09819609671831131,-0.031477682292461395,-0.028534049168229103
254,118.543083,2025-10-15 15:23:09,-0.1383257806301117,-0.09101782739162445,-0.029718270525336266,-0.0273321270942688
250,118.233368,2025-10-15 15:23:09,-0.10978568345308304,-0.07816886901855469,-0.02167120948433876,-0.02225521206855774
240,116.914360,2025-10-15 15:23:09,-0.16262662410736084,-0.10894118994474411,-0.034330103546381,-0.03317613899707794
245,116.386353,2025-10-15 15:23:09,-0.1468988060951233,-0.09950019419193268,-0.029739920049905777,-0.02967102825641632
248,118.383469,2025-10-15 15:23:10,-0.18464089930057526,-0.11763708293437958,-0.04035832732915878,-0.037192121148109436
258,127.638977,2025-10-15 15:23:10,-0.17913071811199188,-0.112021803855896,-0.03901037201285362,-0.03505101054906845
269,126.564346,2025-10-15 15:23:10,-0.1700223684310913,-0.10610008984804153,-0.038022175431251526,-0.033753592520952225
247,126.102486,2025-10-15 15:23:10,-0.1367546021938324,-0.09243372827768326,-0.035317130386829376,-0.032017890363931656
233,122.986526,2025-10-15 15:23:10,-0.14740779995918274,-0.09778036177158356,-0.034012436866760254,-0.031417571008205414
242,119.902115,2025-10-15 15:23:10,-0.14407625794410706,-0.09474408626556396,-0.03268882632255554,-0.029678817838430405
241,117.874680,2025-10-15 15:23:10,-0.125242680311203,-0.08495770394802094,-0.02762889675796032,-0.026605471968650818
243,116.574455,2025-10-15 15:23:11,-0.1218833178281784,-0.08315295726060867,-0.023632483556866646,-0.023857956752181053
255,117.888176,2025-10-15 15:23:11,-0.1398642659187317,-0.09495710581541061,-0.03005513735115528,-0.028524115681648254
247,118.408646,2025-10-15 15:23:11,-0.17287993431091309,-0.11318571120500565,-0.03919801115989685,-0.03468448668718338
250,117.637260,2025-10-15 15:23:11,-0.1634579300880432,-0.10801597684621811,-0.03487132489681244,-0.03152553737163544
254,118.331406,2025-10-15 15:23:11,-0.1442764401435852,-0.09735703468322754,-0.02988707646727562,-0.028299693018198013
246,117.954124,2025-10-15 15:23:11,-0.1383894383907318,-0.09514406323432922,-0.029763542115688324,-0.028407184407114983
260,117.894150,2025-10-15 15:23:11,-0.14558829367160797,-0.0987749844789505,-0.03238077461719513,-0.03072001412510872
249,116.663086,2025-10-15 15:23:12,-0.19121313095092773,-0.12269500643014908,-0.04267825186252594,-0.039072033017873764
250,116.547012,2025-10-15 15:23:12,-0.15641087293624878,-0.10466384887695312,-0.03393886610865593,-0.03252304345369339
261,117.876640,2025-10-15 15:23:12,-0.24356871843338013,-0.1447494924068451,-0.05865545943379402,-0.04949177801609039
263,117.706314,2025-10-15 15:23:12,-0.21615999937057495,-0.13017559051513672,-0.05020896717905998,-0.042695052921772
