Training Log
Start Time: 2025-10-10 15:38:01
Num Actors: 16
Horizon Length: 256
Minibatch Size: 128
Mini Epochs: 5
Learning Rate: 1e-3
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 10000
Position Error Threshold: 0.15
Max Out Trajectory Steps: 5
--------------------------------------------------
Current_Step,Max_Reward,Timestamp
148,0.855574,2025-10-10 15:38:58
148,0.856355,2025-10-10 15:38:58
148,0.856494,2025-10-10 15:38:58
146,0.845936,2025-10-10 15:38:58
148,0.856376,2025-10-10 15:38:58
148,0.857405,2025-10-10 15:38:58
148,0.856072,2025-10-10 15:38:58
145,0.840499,2025-10-10 15:38:58
148,0.856121,2025-10-10 15:38:58
148,0.856153,2025-10-10 15:38:58
148,0.856257,2025-10-10 15:38:58
148,0.856374,2025-10-10 15:38:59
148,0.856588,2025-10-10 15:38:59
147,0.850698,2025-10-10 15:39:00
148,0.855903,2025-10-10 15:39:00
141,0.818775,2025-10-10 15:39:00
143,0.829584,2025-10-10 15:39:00
147,0.850354,2025-10-10 15:39:00
148,0.855545,2025-10-10 15:39:00
148,0.856494,2025-10-10 15:39:00
144,0.835580,2025-10-10 15:39:00
148,0.856453,2025-10-10 15:39:00
148,0.855631,2025-10-10 15:39:00
148,0.856522,2025-10-10 15:39:00
147,0.850357,2025-10-10 15:39:00
148,0.855551,2025-10-10 15:39:00
147,0.850427,2025-10-10 15:39:00
148,0.855621,2025-10-10 15:39:00
140,0.813292,2025-10-10 15:39:02
140,0.813289,2025-10-10 15:39:02
140,0.813410,2025-10-10 15:39:02
148,0.855814,2025-10-10 15:39:02
147,0.850382,2025-10-10 15:39:02
148,0.855575,2025-10-10 15:39:02
148,0.856123,2025-10-10 15:39:02
148,0.857092,2025-10-10 15:39:02
148,0.856311,2025-10-10 15:39:02
140,0.813499,2025-10-10 15:39:02
142,0.824946,2025-10-10 15:39:02
148,0.856341,2025-10-10 15:39:02
148,0.857043,2025-10-10 15:39:02
148,0.855815,2025-10-10 15:39:02
145,0.840079,2025-10-10 15:39:04
148,0.855660,2025-10-10 15:39:04
148,0.856186,2025-10-10 15:39:04
148,0.855634,2025-10-10 15:39:04
145,0.840406,2025-10-10 15:39:04
147,0.850825,2025-10-10 15:39:04
148,0.856035,2025-10-10 15:39:04
148,0.855595,2025-10-10 15:39:04
148,0.855784,2025-10-10 15:39:04
148,0.856470,2025-10-10 15:39:04
148,0.856006,2025-10-10 15:39:04
148,0.856291,2025-10-10 15:39:04
148,0.856625,2025-10-10 15:39:04
143,0.829586,2025-10-10 15:39:04
148,0.855547,2025-10-10 15:39:04
148,0.856171,2025-10-10 15:39:04
140,0.813127,2025-10-10 15:39:06
140,0.813192,2025-10-10 15:39:06
148,0.856524,2025-10-10 15:39:06
148,0.855717,2025-10-10 15:39:06
